,Accession Planting,Status,Inventory Year
11815,1986-0158-01-19,Dead,2007
11875,1986-0158-01-14,Dead,2010
11921,1986-0158-01-11,Dead,2019
11937,1986-0158-01-1,Dead,
11959,1985-0592-01-1,Dead,
11978,1985-0446-01-2,Dead,
11994,1985-0254-01-8,Dead,
11995,1985-0254-01-7,Dead,
12011,1985-0254-01-5,Dead,2007
12012,1985-0254-01-5,Dead,2007
12029,1985-0254-01-32,Dead,2016
12115,1985-0254-01-26,Dead,2016
12145,1985-0254-01-24,Dead,2020
12192,1985-0254-01-20,Dead,2016
12199,1985-0254-01-2,Dead,2000
12228,1985-0254-01-18,Dead,2010
12230,1985-0254-01-17,Dead,2010
12232,1985-0254-01-16,Dead,2016
12235,1985-0254-01-15,Dead,2016
12238,1985-0254-01-14,Dead,2016
12253,1985-0254-01-13,Dead,2018
12309,1985-0248-01-1,Dead,
12324,1984-0545-01-2,Dead,
12325,1984-0545-01-1,Dead,
12326,1984-0493-21-0,Dead,
12341,1983-0683-01-6,Dead,
12342,1983-0683-01-5,Dead,
12345,1983-0683-01-4,Dead,2016
12381,1983-0683-01-1,Dead,
12391,1983-0107-06-7,Dead,
12392,1983-0107-06-6,Dead,
12393,1983-0107-06-5,Dead,
12394,1983-0107-06-4,Dead,
12395,1983-0107-06-3,Dead,
12396,1983-0107-06-2,Dead,
12397,1983-0107-06-1,Dead,
12398,1982-0108-06-6,Dead,
12448,1982-0108-06-1,Dead,
12515,1982-0015-01-16,Dead,
12516,1982-0015-01-14,Dead,
12721,1982-0006-06-2,Dead,2016
12736,1982-0006-06-17,Dead,2016
12765,1982-0006-06-14,Dead,2012
12787,1982-0006-06-11,Dead,2017
12816,1981-0042-01-9,Dead,2016
12817,1981-0042-01-8,Dead,
12819,1981-0042-01-7,Dead,2016
12844,1981-0042-01-4,Dead,2003
12865,1981-0042-01-2,Dead,
12891,1980-0369-01-4,Dead,2012
12904,1980-0369-01-2,Dead,2016
12918,1980-0279-01-4,Dead,2016
12931,1980-0279-01-2,Dead,2016
12932,1980-0279-01-1,Dead,2012
12951,1980-0278-01-2,Dead,2015
12952,1980-0278-01-1,Dead,
12989,1980-0075-01-2,Dead,2012
12990,1980-0075-01-1,Dead,
12994,1979-0360-01-1,Dead,2011
13031,1979-0328-01-1,Dead,2019
13032,1979-0326-01-1,Dead,
13033,1978-0604-01-1,Dead,2012
13132,1978-0542-01-2,Dead,2016
13215,1978-0542-01-12,Dead,2017
13256,1978-0533-01-1,Dead,
13258,1978-0501-01-1,Dead,2016
13275,1978-0500-01-1,Dead,2013
13289,1978-0489-01-1,Dead,2016
13325,1978-0463-01-1,Dead,
13342,1977-1447-01-1,Dead,2016
13373,1977-0887-01-1,Dead,2016
13399,1977-0387-01-2,Dead,
13400,1977-0387-01-2,Dead,2013
13403,1977-0387-01-2,Dead,2017
13404,1977-0387-01-1,Dead,2012
13409,1976-0379-01-9,Dead,2006
13410,1976-0379-01-9,Dead,2013
13411,1976-0379-01-9,Dead,2013
13459,1976-0379-01-5,Dead,2009
13601,1976-0379-01-19,Dead,2016
13617,1976-0379-01-17,Dead,2016
13703,1976-0379-01-1,Dead,2016
13704,1976-0371-01-1,Dead,
13705,1976-0370-01-1,Dead,
13709,1976-0235-01-1,Dead,
13710,1976-0235-01-1,Dead,2013
13767,1970-9926-01-1,Dead,2012
13783,1970-9800-14-1,Dead,2012
13784,1970-1022-01-1,Dead,2012
13787,1970-1021-01-2,Dead,2016
13807,1969-9560-01-1,Dead,
13808,1969-9559-01-1,Dead,2012
13822,1966-8304-01-1,Dead,2015
13824,1966-8295-01-5,Dead,2016
13826,1966-8295-01-4,Dead,2016
13828,1966-8295-01-3,Dead,2016
13830,1966-8295-01-2,Dead,2016
13847,1949-2064-01-1,Dead,
13848,1947-1600-01-1,Dead,
13853,1947-1548-01-1,Dead,2012
13854,1947-1548-01-1,Dead,2013
