Saguaros with measurements in all three key years,,,,,,Saguaros that had more than one measurement in a year so you need to find their duplicate and drop it.
1970-1021-01-1,,,,,,1981-0042-01-3
1970-9909-01-1,,,,,,1992-0148-01-1
1971-0130-01-1,,,,,,2008-0001-01-1
1976-0079-01-1,,,,,,2012-0065-01-57
1976-0235-01-1,,,,,,2012-0254-01-25
1976-0379-01-10,,,,,,2012-0280-01-21
1976-0379-01-11,,,,,,2012-0315-01-47
1976-0379-01-12,,,,,,2013-0265-01-3
1976-0379-01-13,,,,,,2015-0151-01-6
1976-0379-01-14,,,,,,2015-0429-01-1
1976-0379-01-15,,,,,,
1976-0379-01-16,,,,,,
1976-0379-01-18,,,,,,
1976-0379-01-2,,,,,,
1976-0379-01-20,,,,,,
1976-0379-01-21,,,,,,
1976-0379-01-22,,,,,,
1976-0379-01-23,,,,,,
1976-0379-01-24,,,,,,
1976-0379-01-25,,,,,,
1976-0379-01-26,,,,,,
1976-0379-01-27,,,,,,
1976-0379-01-4,,,,,,
1976-0379-01-5,,,,,,
1976-0379-01-6,,,,,,
1976-0379-01-9,,,,,,
1977-0885-01-1,,,,,,
1977-0886-01-1,,,,,,
1977-1446-01-1,,,,,,
1978-0472-01-1,,,,,,
1978-0480-01-1,,,,,,
1978-0499-01-1,,,,,,
1978-0500-01-2,,,,,,
1978-0542-01-10,,,,,,
1978-0542-01-11,,,,,,
1978-0542-01-14,,,,,,
1978-0542-01-15,,,,,,
1978-0542-01-18,,,,,,
1978-0542-01-3,,,,,,
1978-0542-01-5,,,,,,
1978-0542-01-6,,,,,,
1978-0542-01-7,,,,,,
1978-0542-01-8,,,,,,
1978-0542-01-9,,,,,,
1978-0603-01-1,,,,,,
1979-0359-01-1,,,,,,
1980-0075-01-3,,,,,,
1980-0075-01-4,,,,,,
1980-0075-01-5,,,,,,
1980-0279-01-3,,,,,,
1980-0369-01-1,,,,,,
1980-0369-01-3,,,,,,
1981-0042-01-1,,,,,,
1981-0042-01-10,,,,,,
1981-0042-01-3,,,,,,
1981-0042-01-4,,,,,,
1981-0042-01-5,,,,,,
1982-0006-06-10,,,,,,
1982-0006-06-12,,,,,,
1982-0006-06-15,,,,,,
1982-0006-06-20,,,,,,
1982-0006-06-21,,,,,,
1982-0006-06-22,,,,,,
1982-0006-06-24,,,,,,
1982-0006-06-4,,,,,,
1982-0006-06-5,,,,,,
1982-0006-06-7,,,,,,
1982-0006-06-8,,,,,,
1982-0006-06-9,,,,,,
1982-0015-01-12,,,,,,
1982-0015-01-13,,,,,,
1982-0015-01-2,,,,,,
1982-0015-01-6,,,,,,
1982-0015-01-9,,,,,,
1982-0108-06-2,,,,,,
1982-0108-06-4,,,,,,
1982-0108-06-5,,,,,,
1983-0683-01-2,,,,,,
1983-0683-01-3,,,,,,
1983-0683-01-7,,,,,,
1985-0217-01-1,,,,,,
1985-0254-01-10,,,,,,
1985-0254-01-11,,,,,,
1985-0254-01-12,,,,,,
1985-0254-01-19,,,,,,
1985-0254-01-2,,,,,,
1985-0254-01-21,,,,,,
1985-0254-01-22,,,,,,
1985-0254-01-25,,,,,,
1985-0254-01-27,,,,,,
1985-0254-01-28,,,,,,
1985-0254-01-29,,,,,,
1985-0254-01-3,,,,,,
1985-0254-01-30,,,,,,
1985-0254-01-31,,,,,,
1985-0498-01-1,,,,,,
1985-0633-01-6,,,,,,
1986-0158-01-12,,,,,,
1986-0158-01-13,,,,,,
1987-0009-01-11,,,,,,
1987-0009-01-12,,,,,,
1987-0009-01-15,,,,,,
1987-0009-01-7,,,,,,
1987-0009-01-8,,,,,,
1987-0009-01-9,,,,,,
1987-0156-01-11,,,,,,
1987-0156-01-12,,,,,,
1987-0156-01-17,,,,,,
1987-0156-01-19,,,,,,
1987-0156-01-20,,,,,,
1987-0156-01-21,,,,,,
1987-0156-01-22,,,,,,
1987-0156-01-23,,,,,,
1987-0156-01-24,,,,,,
1987-0156-01-26,,,,,,
1987-0156-01-27,,,,,,
1987-0156-01-29,,,,,,
1987-0156-01-30,,,,,,
1987-0156-01-31,,,,,,
1990-0214-01-13,,,,,,
1990-0214-01-18,,,,,,
1990-0350-01-12,,,,,,
1990-0350-01-14,,,,,,
1990-0350-01-2,,,,,,
1990-0350-01-3,,,,,,
1990-0350-01-4,,,,,,
1990-0350-01-5,,,,,,
1990-0350-01-6,,,,,,
1990-0374-01-1,,,,,,
1991-0209-01-4,,,,,,
1991-0209-01-5,,,,,,
1991-0209-01-6,,,,,,
1991-0209-01-7,,,,,,
1991-0209-01-8,,,,,,
1991-0210-01-1,,,,,,
1991-0210-01-3,,,,,,
1991-0210-01-4,,,,,,
1991-0210-01-5,,,,,,
1991-0210-01-6,,,,,,
1991-0210-01-7,,,,,,
1991-0210-01-8,,,,,,
1991-0210-01-9,,,,,,
1991-0418-01-1,,,,,,
1991-0421-01-1,,,,,,
1992-0019-01-1,,,,,,
1992-0019-01-2,,,,,,
1992-0148-01-1,,,,,,
1992-0148-01-2,,,,,,
1992-0148-01-3,,,,,,
1992-0224-01-1,,,,,,
1992-1198-01-1,,,,,,
1992-1221-01-1,,,,,,
1992-1223-01-1,,,,,,
1992-1223-01-2,,,,,,
1992-1464-01-1,,,,,,
1992-1471-01-1,,,,,,
1992-1471-01-2,,,,,,
1992-1498-01-1,,,,,,
1993-0054-01-1,,,,,,
1993-0054-01-2,,,,,,
1993-0054-01-3,,,,,,
1993-0054-01-4,,,,,,
1993-0054-01-5,,,,,,
1993-0076-01-1,,,,,,
1993-0076-01-2,,,,,,
1993-0095-01-2,,,,,,
1993-0101-01-1,,,,,,
1993-0108-01-1,,,,,,
1993-0291-01-1,,,,,,
1993-0293-01-1,,,,,,
1993-0402-01-2,,,,,,
1993-0416-01-3,,,,,,
2002-0161-01-12,,,,,,
2002-0161-01-13,,,,,,
2002-0161-01-15,,,,,,
2002-0161-01-17,,,,,,
2002-0161-01-2,,,,,,
2002-0161-01-4,,,,,,
2002-0161-01-5,,,,,,
2002-0161-01-9,,,,,,
2008-0001-01-1,,,,,,
2008-0001-01-36,,,,,,
2008-0001-01-48,,,,,,
2008-0001-01-51,,,,,,
2008-0001-01-9,,,,,,
2012-0065-01-11,,,,,,
2012-0065-01-13,,,,,,
2012-0065-01-14,,,,,,
2012-0065-01-15,,,,,,
2012-0065-01-17,,,,,,
2012-0065-01-22,,,,,,
2012-0065-01-23,,,,,,
2012-0065-01-24,,,,,,
2012-0065-01-25,,,,,,
2012-0065-01-26,,,,,,
2012-0065-01-27,,,,,,
2012-0065-01-28,,,,,,
2012-0065-01-29,,,,,,
2012-0065-01-30,,,,,,
2012-0065-01-33,,,,,,
2012-0065-01-34,,,,,,
2012-0065-01-35,,,,,,
2012-0065-01-36,,,,,,
2012-0065-01-39,,,,,,
2012-0065-01-41,,,,,,
2012-0065-01-43,,,,,,
2012-0065-01-44,,,,,,
2012-0065-01-45,,,,,,
2012-0065-01-46,,,,,,
2012-0065-01-47,,,,,,
2012-0065-01-49,,,,,,
2012-0065-01-51,,,,,,
2012-0065-01-52,,,,,,
2012-0065-01-53,,,,,,
2012-0065-01-54,,,,,,
2012-0065-01-56,,,,,,
2012-0065-01-57,,,,,,
2012-0065-01-58,,,,,,
2012-0065-01-6,,,,,,
2012-0065-01-60,,,,,,
2012-0065-01-61,,,,,,
2012-0065-01-62,,,,,,
2012-0065-01-65,,,,,,
2012-0065-01-67,,,,,,
2012-0065-01-68,,,,,,
2012-0065-01-69,,,,,,
2012-0065-01-70,,,,,,
2012-0065-01-71,,,,,,
2012-0065-01-72,,,,,,
2012-0065-01-75,,,,,,
2012-0065-01-76,,,,,,
2012-0065-01-77,,,,,,
2012-0065-01-80,,,,,,
2012-0065-01-81,,,,,,
2012-0065-01-82,,,,,,
2012-0065-01-83,,,,,,
2012-0065-01-84,,,,,,
2012-0065-01-85,,,,,,
2012-0065-01-86,,,,,,
2012-0065-01-87,,,,,,
2012-0065-01-89,,,,,,
2012-0065-01-90,,,,,,
2012-0065-01-93,,,,,,
2012-0065-01-96,,,,,,
2012-0065-01-98,,,,,,
2012-0065-01-99,,,,,,
2012-0214-01-1,,,,,,
2012-0214-01-10,,,,,,
2012-0214-01-11,,,,,,
2012-0214-01-13,,,,,,
2012-0214-01-14,,,,,,
2012-0214-01-15,,,,,,
2012-0214-01-16,,,,,,
2012-0214-01-19,,,,,,
2012-0214-01-2,,,,,,
2012-0214-01-20,,,,,,
2012-0214-01-21,,,,,,
2012-0214-01-22,,,,,,
2012-0214-01-24,,,,,,
2012-0214-01-25,,,,,,
2012-0214-01-26,,,,,,
2012-0214-01-27,,,,,,
2012-0214-01-28,,,,,,
2012-0214-01-30,,,,,,
2012-0214-01-31,,,,,,
2012-0214-01-32,,,,,,
2012-0214-01-33,,,,,,
2012-0214-01-34,,,,,,
2012-0214-01-35,,,,,,
2012-0214-01-36,,,,,,
2012-0214-01-38,,,,,,
2012-0214-01-39,,,,,,
2012-0214-01-4,,,,,,
2012-0214-01-40,,,,,,
2012-0214-01-41,,,,,,
2012-0214-01-42,,,,,,
2012-0214-01-44,,,,,,
2012-0214-01-45,,,,,,
2012-0214-01-46,,,,,,
2012-0214-01-47,,,,,,
2012-0214-01-48,,,,,,
2012-0214-01-49,,,,,,
2012-0214-01-5,,,,,,
2012-0214-01-6,,,,,,
2012-0214-01-7,,,,,,
2012-0214-01-9,,,,,,
2012-0254-01-12,,,,,,
2012-0254-01-18,,,,,,
2012-0254-01-19,,,,,,
2012-0254-01-20,,,,,,
2012-0254-01-21,,,,,,
2012-0254-01-22,,,,,,
2012-0254-01-23,,,,,,
2012-0254-01-24,,,,,,
2012-0254-01-25,,,,,,
2012-0254-01-26,,,,,,
