Genus,Species,Accession/Planting,Inventory Date,Status,Inventory Note,Measurement Date,Height,Height Unit,DBH,DBH Unit,Measurement Note,Location Details/Directions to Site,Inventory Latitude,Inventory Longitude
Carnegiea,gigantea,1987-0156-01-20,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,16.6,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4598176,-111.9434809
Carnegiea,gigantea,1987-0156-01-21,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,7.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4598671,-111.9435391
Carnegiea,gigantea,1987-0156-01-22,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,23.9,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.459884,-111.9434832
Carnegiea,gigantea,1987-0156-01-23,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,16.8,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4598926,-111.9434566
Carnegiea,gigantea,1987-0156-01-24,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,16,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4597237,-111.9434229
Carnegiea,gigantea,1987-0156-01-26,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,20.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4599199,-111.9433105
Carnegiea,gigantea,1987-0156-01-27,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,8.5,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4600415,-111.9431504
Carnegiea,gigantea,1987-0156-01-29,2/26/20 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:37,10.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.460021,-111.9430964
Carnegiea,gigantea,1987-0156-01-30,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,4.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.459945,-111.9431269
Carnegiea,gigantea,1987-0156-01-31,2/26/20 13:40,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:40,15.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4599116,-111.9428679
Carnegiea,gigantea,1987-0156-01-6,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,24.2,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4601637,-111.9431148
Carnegiea,gigantea,1987-0156-01-8,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,20.1,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4601247,-111.9429894
Carnegiea,gigantea,1987-0156-01-9,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,16,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4600221,-111.943021
Carnegiea,gigantea,1990-0214-01-10,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,16.4,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4601056,-111.9426712
Carnegiea,gigantea,1990-0214-01-11,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,12.3,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4600989,-111.9427277
Carnegiea,gigantea,1990-0214-01-12,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,21.4,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4601382,-111.9427572
Carnegiea,gigantea,1990-0214-01-13,2/26/20 13:40,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:40,7.4,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4602136,-111.9426634
Carnegiea,gigantea,1990-0214-01-15,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,17.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.460177,-111.942802
Carnegiea,gigantea,1990-0214-01-16,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,15.2,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4599447,-111.9430677
Carnegiea,gigantea,1990-0214-01-17,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,20,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4599203,-111.9430141
Carnegiea,gigantea,1990-0214-01-18,2/26/20 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:37,18.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4599166,-111.9429376
Carnegiea,gigantea,1990-0214-01-2,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,10.3,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4601241,-111.9429262
Carnegiea,gigantea,1990-0214-01-20,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,7.5,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4598875,-111.9429705
Carnegiea,gigantea,1990-0214-01-22,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,10.1,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4598442,-111.9429011
