Accession/Planting,Most Recent Inventory Date,Status,Inventory Note,Most Recent Measurement Date,Height,Height Unit,Measurement Note,Inventory Latitude,Inventory Longitude
2012-0315-01-40,2/26/2020 13:50,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:50,21.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4620195,-111.9474117
2012-0315-01-41,2/26/2020 13:50,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:50,2.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4621986,-111.9471482
2012-0315-01-43,2/26/2020 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:52,1.5,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4588556,-111.9425248
2012-0315-01-46,11/14/2017 0:00,Alive,"Not caged, no herbivary Moved due to Heritage Garden construction 2015. Relocated to propagation area.  kk 11/2017",2/24/2015 0:00,6,inches,0 arms0 0 buds.,,
2012-0315-01-47,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,7.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4602514,-111.9441817
2012-0315-01-48,2/26/2020 13:40,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:40,3.4,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4622388,-111.9464202
2012-0315-01-49,2/26/2020 13:42,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:42,6.1,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4606817,-111.9435822
2012-0315-01-5,2/26/2020 13:49,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:49,20.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4593137,-111.9486406
2012-0315-01-6,2/26/2020 13:49,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:49,21.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4592931,-111.9486188
2012-0315-01-7,2/26/2020 13:49,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:49,20.8,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595358,-111.9488676
2012-0315-01-8,2/26/2020 13:49,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:49,20.35,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4591253,-111.9479124
2012-0315-01-9,2/26/2020 13:49,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:49,18.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.459161,-111.9480344
